weekly_date,week,GRPRatingsDate,GRP
2007-06-17,0,17-Jun-2007 (25),243.6
2007-06-24,1,24-Jun-2007 (26),263.19
2007-07-01,2,01-Jul-2007 (27),269.89
2007-07-08,3,08-Jul-2007 (28),252.88
2007-07-15,4,15-Jul-2007 (29),303.46
2007-07-22,5,22-Jul-2007 (30),286.29
2007-07-29,6,29-Jul-2007 (31),292.28
2007-08-05,7,05-Aug-2007 (32),288.72
2007-08-12,8,12-Aug-2007 (33),285.7
2007-08-19,9,19-Aug-2007 (34),286.01
2007-08-26,10,26-Aug-2007 (35),308.59
2007-09-02,11,02-Sep-2007 (36),320.57
2007-09-09,12,09-Sep-2007 (37),312.67
2007-09-16,13,16-Sep-2007 (38),278.58
2007-09-23,14,23-Sep-2007 (39),303.06
2007-09-30,15,30-Sep-2007 (40),327.22
2007-10-07,16,07-Oct-2007 (41),315.14
2007-10-14,17,14-Oct-2007 (42),254.39
2007-10-21,18,21-Oct-2007 (43),258.73
2007-10-28,19,28-Oct-2007 (44),272.35
2007-11-04,20,04-Nov-2007 (45),234.26
2007-11-11,21,11-Nov-2007 (46),259.35
2007-11-18,22,18-Nov-2007 (47),272.67
2007-11-25,23,25-Nov-2007 (48),269.03
2007-12-02,24,02-Dec-2007 (49),291.72
2007-12-09,25,09-Dec-2007 (50),275.29
2007-12-16,26,16-Dec-2007 (51),276.38
2007-12-23,27,23-Dec-2007 (52),274.68
2007-12-30,28,30-Dec-2007 (1),273.7
2008-01-06,29,06-Jan-2008 (2),271.84
2008-01-13,30,13-Jan-2008 (3),267.63
2008-01-20,31,20-Jan-2008 (4),260.45
2008-01-27,32,27-Jan-2008 (5),301.67
2008-02-03,33,03-Feb-2008 (6),281.6
2008-02-10,34,10-Feb-2008 (7),286.82
2008-02-17,35,17-Feb-2008 (8),292.87
2008-02-24,36,24-Feb-2008 (9),289.84
2008-03-02,37,02-Mar-2008 (10),237.74
2008-03-09,38,09-Mar-2008 (11),268.69
2008-03-16,39,16-Mar-2008 (12),261.46
2008-03-23,40,23-Mar-2008 (13),240.68
2008-03-30,41,30-Mar-2008 (14),231.89
2008-04-06,42,06-Apr-2008 (15),212.18
2008-04-13,43,13-Apr-2008 (16),218.16
2008-04-20,44,20-Apr-2008 (17),219.96
2008-04-27,45,27-Apr-2008 (18),210.24
2008-05-04,46,04-May-2008 (19),210.17
2008-05-11,47,11-May-2008 (20),228.25
2008-05-18,48,18-May-2008 (21),227.32
2008-05-25,49,25-May-2008 (22),218.16
2008-06-01,50,01-Jun-2008 (23),228.92
2008-06-08,51,08-Jun-2008 (24),231.79
2008-06-15,52,15-Jun-2008 (25),231.19
2008-06-22,53,22-Jun-2008 (26),214.32
2008-06-29,54,29-Jun-2008 (27),233.76
2008-07-06,55,06-Jul-2008 (28),231.12
2008-07-13,56,13-Jul-2008 (29),224.72
2008-07-20,57,20-Jul-2008 (30),216.19
2008-07-27,58,27-Jul-2008 (31),216.75
2008-08-03,59,03-Aug-2008 (32),211.68
2008-08-10,60,10-Aug-2008 (33),209.41
2008-08-17,61,17-Aug-2008 (34),219.99
2008-08-24,62,24-Aug-2008 (35),205.17
2008-08-31,63,31-Aug-2008 (36),195.25
2008-09-07,64,07-Sep-2008 (37),212.45
2008-09-14,65,14-Sep-2008 (38),232.21
2008-09-21,66,21-Sep-2008 (39),236.31
2008-09-28,67,28-Sep-2008 (40),219.91
2008-10-05,68,05-Oct-2008 (41),193.84
2008-10-12,69,12-Oct-2008 (42),201.3
2008-10-19,70,19-Oct-2008 (43),198.4
2008-10-26,71,26-Oct-2008 (44),170.74
2008-11-02,72,02-Nov-2008 (45),206.61
2008-11-09,73,09-Nov-2008 (46),188.68
2008-11-16,74,16-Nov-2008 (47),197.64
2008-11-23,75,23-Nov-2008 (48),193.16
2008-11-30,76,30-Nov-2008 (49),184.74
2008-12-07,77,07-Dec-2008 (50),188.88
2008-12-14,78,14-Dec-2008 (51),224.85
2008-12-21,79,21-Dec-2008 (52),186.91
2008-12-28,80,28-Dec-2008 (1),192.65
2009-01-04,81,04-Jan-2009 (2),200.88
2009-01-11,82,11-Jan-2009 (3),198.88
2009-01-18,83,18-Jan-2009 (4),227.61
2009-01-25,84,25-Jan-2009 (5),214.15
2009-02-01,85,01-Feb-2009 (6),191.91
2009-02-08,86,08-Feb-2009 (7),208.17
2009-02-15,87,15-Feb-2009 (8),204.2
2009-02-22,88,22-Feb-2009 (9),200.61
2009-03-01,89,01-Mar-2009 (10),208.56
2009-03-08,90,08-Mar-2009 (11),191.74
2009-03-15,91,15-Mar-2009 (12),222.07
