weekly_date,week,GRPRatingsDate,GRP
2008-06-22,53,22-Jun-2008 (26),214.32
2008-06-29,54,29-Jun-2008 (27),233.76
2008-07-06,55,06-Jul-2008 (28),231.12
2008-07-13,56,13-Jul-2008 (29),224.72
2008-07-20,57,20-Jul-2008 (30),216.19
2008-07-27,58,27-Jul-2008 (31),216.75
2008-08-03,59,03-Aug-2008 (32),211.68
2008-08-10,60,10-Aug-2008 (33),209.41
2008-08-17,61,17-Aug-2008 (34),219.99
2008-08-24,62,24-Aug-2008 (35),205.17
2008-08-31,63,31-Aug-2008 (36),195.25
2008-09-07,64,07-Sep-2008 (37),212.45
2008-09-14,65,14-Sep-2008 (38),232.21
2008-09-21,66,21-Sep-2008 (39),236.31
2008-09-28,67,28-Sep-2008 (40),219.91
2008-10-05,68,05-Oct-2008 (41),193.84
2008-10-12,69,12-Oct-2008 (42),201.3
2008-10-19,70,19-Oct-2008 (43),198.4
2008-10-26,71,26-Oct-2008 (44),170.74
2008-11-02,72,02-Nov-2008 (45),206.61
2008-11-09,73,09-Nov-2008 (46),188.68
2008-11-16,74,16-Nov-2008 (47),197.64
2008-11-23,75,23-Nov-2008 (48),193.16
2008-11-30,76,30-Nov-2008 (49),184.74
2008-12-07,77,07-Dec-2008 (50),188.88
2008-12-14,78,14-Dec-2008 (51),224.85
2008-12-21,79,21-Dec-2008 (52),186.91
2008-12-28,80,28-Dec-2008 (1),192.65
2009-01-04,81,04-Jan-2009 (2),200.88
2009-01-11,82,11-Jan-2009 (3),198.88
2009-01-18,83,18-Jan-2009 (4),227.61
2009-01-25,84,25-Jan-2009 (5),214.15
2009-02-01,85,01-Feb-2009 (6),191.91
2009-02-08,86,08-Feb-2009 (7),208.17
2009-02-15,87,15-Feb-2009 (8),204.2
2009-02-22,88,22-Feb-2009 (9),200.61
2009-03-01,89,01-Mar-2009 (10),208.56
2009-03-08,90,08-Mar-2009 (11),191.74
2009-03-15,91,15-Mar-2009 (12),222.07
