weekly_date,week,GRPRatingsDate,GRP
2007-06-17,0,17-Jun-2007 (25),243.6
2007-06-24,1,24-Jun-2007 (26),263.19
2007-07-01,2,01-Jul-2007 (27),269.89
2007-07-08,3,08-Jul-2007 (28),252.88
2007-07-15,4,15-Jul-2007 (29),303.46
2007-07-22,5,22-Jul-2007 (30),286.29
2007-07-29,6,29-Jul-2007 (31),292.28
2007-08-05,7,05-Aug-2007 (32),288.72
2007-08-12,8,12-Aug-2007 (33),285.7
2007-08-19,9,19-Aug-2007 (34),286.01
2007-08-26,10,26-Aug-2007 (35),308.59
2007-09-02,11,02-Sep-2007 (36),320.57
2007-09-09,12,09-Sep-2007 (37),312.67
2007-09-16,13,16-Sep-2007 (38),278.58
2007-09-23,14,23-Sep-2007 (39),303.06
2007-09-30,15,30-Sep-2007 (40),327.22
2007-10-07,16,07-Oct-2007 (41),315.14
2007-10-14,17,14-Oct-2007 (42),254.39
2007-10-21,18,21-Oct-2007 (43),258.73
2007-10-28,19,28-Oct-2007 (44),272.35
2007-11-04,20,04-Nov-2007 (45),234.26
2007-11-11,21,11-Nov-2007 (46),259.35
2007-11-18,22,18-Nov-2007 (47),272.67
2007-11-25,23,25-Nov-2007 (48),269.03
2007-12-02,24,02-Dec-2007 (49),291.72
2007-12-09,25,09-Dec-2007 (50),275.29
2007-12-16,26,16-Dec-2007 (51),276.38
2007-12-23,27,23-Dec-2007 (52),274.68
2007-12-30,28,30-Dec-2007 (1),273.7
2008-01-06,29,06-Jan-2008 (2),271.84
2008-01-13,30,13-Jan-2008 (3),267.63
2008-01-20,31,20-Jan-2008 (4),260.45
2008-01-27,32,27-Jan-2008 (5),301.67
2008-02-03,33,03-Feb-2008 (6),281.6
2008-02-10,34,10-Feb-2008 (7),286.82
2008-02-17,35,17-Feb-2008 (8),292.87
2008-02-24,36,24-Feb-2008 (9),289.84
2008-03-02,37,02-Mar-2008 (10),237.74
2008-03-09,38,09-Mar-2008 (11),268.69
2008-03-16,39,16-Mar-2008 (12),261.46
2008-03-23,40,23-Mar-2008 (13),240.68
2008-03-30,41,30-Mar-2008 (14),231.89
2008-04-06,42,06-Apr-2008 (15),212.18
2008-04-13,43,13-Apr-2008 (16),218.16
2008-04-20,44,20-Apr-2008 (17),219.96
2008-04-27,45,27-Apr-2008 (18),210.24
2008-05-04,46,04-May-2008 (19),210.17
2008-05-11,47,11-May-2008 (20),228.25
2008-05-18,48,18-May-2008 (21),227.32
2008-05-25,49,25-May-2008 (22),218.16
2008-06-01,50,01-Jun-2008 (23),228.92
2008-06-08,51,08-Jun-2008 (24),231.79
2008-06-15,52,15-Jun-2008 (25),231.19
